image_filename,case_id,baseline_matches,baseline_false_negatives,baseline_false_positives,sim_matches,sim_false_negatives,sim_false_positives,delta_matches,delta_false_negatives,delta_false_positives,removed_labels
03.jpg,3,1,0,0,1,0,0,0,0,0,
06.jpg,6,1,0,0,1,0,0,0,0,0,
07.jpg,7,1,0,0,1,0,0,0,0,0,
08.jpg,8,1,0,0,1,0,0,0,0,0,
09.jpg,9,1,0,0,1,0,0,0,0,0,
10.jpg,10,1,0,0,1,0,0,0,0,0,
11.jpg,11,1,1,0,1,1,0,0,0,0,
12.jpg,12,1,0,0,1,0,0,0,0,0,
13.jpg,13,2,0,0,2,0,0,0,0,0,
14.jpg,14,1,1,0,1,1,0,0,0,0,
15.jpg,15,1,0,0,1,0,0,0,0,0,
16.jpg,16,1,0,0,1,0,0,0,0,0,
17.jpg,17,1,0,1,1,0,1,0,0,0,
18.jpg,18,1,0,0,1,0,0,0,0,0,
19.jpg,19,1,0,1,1,0,1,0,0,0,
20.jpg,20,1,1,0,1,1,0,0,0,0,
21.jpg,21,2,1,0,2,1,0,0,0,0,
22.jpg,22,6,0,0,6,0,0,0,0,0,
24.jpg,24,1,0,0,1,0,0,0,0,0,
25.jpg,25,1,0,0,1,0,0,0,0,0,
26.jpg,26,1,0,0,1,0,0,0,0,0,
27.jpg,27,1,0,0,1,0,0,0,0,0,
28.jpg,28,1,0,3,1,0,3,0,0,0,
29.jpg,29,1,0,0,1,0,0,0,0,0,
40.png,40,1,1,0,1,1,0,0,0,0,
41.png,41,1,0,0,1,0,0,0,0,0,
42.png,42,1,1,0,1,1,0,0,0,0,
44.jpg,44,7,2,0,7,2,0,0,0,0,
46.jpg,46,1,0,0,1,0,0,0,0,0,
48.jpg,48,1,0,0,1,0,0,0,0,0,
49.jpg,49,1,0,0,1,0,0,0,0,0,
50.jpg,50,1,0,0,1,0,0,0,0,0,
51.jpg,51,1,0,0,1,0,0,0,0,0,
53.jpg,53,2,1,0,2,1,0,0,0,0,
56.png,56,1,0,0,1,0,0,0,0,0,
57.png,57,1,0,1,1,0,1,0,0,0,
59.jpg,59,1,0,0,1,0,0,0,0,0,
61.jpg,61,1,0,0,1,0,0,0,0,0,
62.jpg,62,1,0,0,1,0,0,0,0,0,
63.jpg,63,1,0,0,1,0,0,0,0,0,
64.jpg,64,1,0,0,1,0,0,0,0,0,
65.jpg,65,2,0,0,2,0,0,0,0,0,
66.jpg,66,8,0,5,8,0,5,0,0,0,
67.jpg,67,10,1,3,10,1,3,0,0,0,
68.jpg,68,2,0,0,2,0,0,0,0,0,
69.jpg,69,3,0,0,3,0,0,0,0,0,
70.jpg,70,2,1,0,2,1,0,0,0,0,
73.jpg,73,1,0,0,1,0,0,0,0,0,
74.jpg,74,1,0,0,1,0,0,0,0,0,
75.jpg,75,2,0,0,2,0,0,0,0,0,
76.jpg,76,1,2,0,1,2,0,0,0,0,
77.jpg,77,1,0,1,1,0,1,0,0,0,
78.jpg,78,1,0,0,1,0,0,0,0,0,
79.jpg,79,1,0,0,1,0,0,0,0,0,
80.jpg,80,1,0,0,1,0,0,0,0,0,
81.jpg,81,1,0,0,1,0,0,0,0,0,
82.jpg,82,2,0,0,2,0,0,0,0,0,
83.jpg,83,1,0,0,1,0,0,0,0,0,
84.jpg,84,8,5,0,8,5,0,0,0,0,
85.jpg,85,2,0,0,2,0,0,0,0,0,
86.jpg,86,1,0,1,1,0,1,0,0,0,
87.jpg,87,2,0,0,2,0,0,0,0,0,
88.jpg,88,1,0,1,1,0,0,0,0,-1,target_1
89.jpg,89,1,0,0,1,0,0,0,0,0,
90.png,90,1,0,0,1,0,0,0,0,0,
91.jpg,91,3,0,0,3,0,0,0,0,0,
92.jpg,92,1,0,1,1,0,1,0,0,0,
93.jpg,93,3,0,0,3,0,0,0,0,0,
94.jpg,94,1,0,0,1,0,0,0,0,0,
95.jpg,95,1,1,0,1,1,0,0,0,0,
96.jpg,96,2,0,0,2,0,0,0,0,0,
97.jpg,97,1,0,1,1,0,1,0,0,0,
98.jpg,98,1,0,0,1,0,0,0,0,0,
99.jpg,99,2,0,0,2,0,0,0,0,0,
100.jpg,100,1,2,1,1,2,0,0,0,-1,target_2
102.jpg,102,0,1,0,0,1,0,0,0,0,
103.jpg,103,1,0,1,1,0,1,0,0,0,
104.jpg,104,1,0,0,1,0,0,0,0,0,
105.jpg,105,1,0,2,1,0,2,0,0,0,
106.jpg,106,1,0,0,1,0,0,0,0,0,
107.jpg,107,1,0,0,1,0,0,0,0,0,
108.jpg,108,1,1,0,1,1,0,0,0,0,
109.jpg,109,1,0,0,1,0,0,0,0,0,
110.jpg,110,3,4,1,3,4,1,0,0,0,
125.jpg,125,1,0,0,1,0,0,0,0,0,
141.jpg,141,2,1,0,2,1,0,0,0,0,
142.jpg,142,1,0,0,1,0,0,0,0,0,
143.jpg,143,1,0,0,1,0,0,0,0,0,
144.jpg,144,3,0,0,3,0,0,0,0,0,
145.jpg,145,1,0,0,1,0,0,0,0,0,
146.jpg,146,1,1,0,1,1,0,0,0,0,
147.jpg,147,1,2,0,1,2,0,0,0,0,
148.jpg,148,1,0,0,1,0,0,0,0,0,
149.jpg,149,1,0,0,1,0,0,0,0,0,
150.jpg,150,1,0,0,1,0,0,0,0,0,
151.jpg,151,1,0,0,1,0,0,0,0,0,
152.jpg,152,3,0,0,3,0,0,0,0,0,
153.jpg,153,1,0,0,1,0,0,0,0,0,
154.jpg,154,1,1,0,1,1,0,0,0,0,
155.jpg,155,2,0,1,2,0,0,0,0,-1,target_1
156.jpg,156,2,0,0,2,0,0,0,0,0,
157.jpg,157,1,0,0,1,0,0,0,0,0,
158.jpg,158,1,0,0,1,0,0,0,0,0,
159.jpg,159,2,0,0,2,0,0,0,0,0,
160.jpg,160,2,3,0,2,3,0,0,0,0,
161.jpg,161,0,1,0,0,1,0,0,0,0,
162.jpg,162,1,0,0,1,0,0,0,0,0,
163.jpg,163,1,0,0,1,0,0,0,0,0,
164.jpg,164,1,1,0,1,1,0,0,0,0,
165.jpg,165,1,0,0,1,0,0,0,0,0,
166.jpg,166,1,0,0,1,0,0,0,0,0,
167.jpg,167,1,0,0,1,0,0,0,0,0,
168.jpg,168,1,0,0,1,0,0,0,0,0,
169.jpg,169,1,1,0,1,1,0,0,0,0,
170.jpg,170,1,0,0,1,0,0,0,0,0,
172.jpg,172,3,0,0,3,0,0,0,0,0,
187.jpg,187,2,0,0,2,0,0,0,0,0,
